DepartureTime,ArrivalTime,DV1_Mag,DV1_km_s,DV2_Mag
2028-03-01T00:00:00.000Z,2029-04-10T00:00:00.000Z,37258.030305407,37.258030305,28414.918271679
2028-03-02T00:00:00.000Z,2029-04-10T00:00:00.000Z,37411.472645029,37.411472645,28594.261374729
2028-03-03T00:00:00.000Z,2029-04-10T00:00:00.000Z,37564.293118114,37.564293118,28773.702957467
2028-03-04T00:00:00.000Z,2029-04-10T00:00:00.000Z,37716.467222519,37.716467223,28953.232640629
2028-03-05T00:00:00.000Z,2029-04-10T00:00:00.000Z,37867.988432696,37.867988433,29132.840525137
2028-03-06T00:00:00.000Z,2029-04-10T00:00:00.000Z,38018.876929072,38.018876929,29312.517365359
2028-03-07T00:00:00.000Z,2029-04-10T00:00:00.000Z,38169.190482066,38.169190482,29492.254771304
2028-03-08T00:00:00.000Z,2029-04-10T00:00:00.000Z,38319.034307569,38.319034308,29672.045409559
2028-03-09T00:00:00.000Z,2029-04-10T00:00:00.000Z,38468.564092266,38.468564092,29851.883145901
2028-03-10T00:00:00.000Z,2029-04-10T00:00:00.000Z,38617.975642555,38.617975643,30031.763055438
2028-03-11T00:00:00.000Z,2029-04-10T00:00:00.000Z,38767.478512123,38.767478512,30211.681233869
2028-03-12T00:00:00.000Z,2029-04-10T00:00:00.000Z,38917.259522832,38.917259523,30391.634397222
2028-03-13T00:00:00.000Z,2029-04-10T00:00:00.000Z,39067.449782027,39.067449782,30571.619348574
2028-03-14T00:00:00.000Z,2029-04-10T00:00:00.000Z,39218.108308858,39.218108309,30751.632457137
2028-03-15T00:00:00.000Z,2029-04-10T00:00:00.000Z,39369.226139417,39.369226139,30931.669280197
2028-03-16T00:00:00.000Z,2029-04-10T00:00:00.000Z,39520.744505140,39.520744505,31111.724379802
2028-03-17T00:00:00.000Z,2029-04-10T00:00:00.000Z,39672.576738283,39.672576738,31291.791310215
2028-03-18T00:00:00.000Z,2029-04-10T00:00:00.000Z,39824.626187461,39.824626187,31471.862715838
2028-03-19T00:00:00.000Z,2029-04-10T00:00:00.000Z,39976.797241510,39.976797242,31651.930474579
2028-03-20T00:00:00.000Z,2029-04-10T00:00:00.000Z,40129.000058974,40.129000059,31831.985835790
2028-03-21T00:00:00.000Z,2029-04-10T00:00:00.000Z,40281.151005663,40.281151006,32012.019528051
2028-03-22T00:00:00.000Z,2029-04-10T00:00:00.000Z,40433.170841244,40.433170841,32192.021836401
2028-03-23T00:00:00.000Z,2029-04-10T00:00:00.000Z,40584.982217803,40.584982218,32371.982658699
2028-03-24T00:00:00.000Z,2029-04-10T00:00:00.000Z,40736.507533978,40.736507534,32551.891549895
2028-03-25T00:00:00.000Z,2029-04-10T00:00:00.000Z,40887.667771991,40.887667772,32731.737762122
2028-03-26T00:00:00.000Z,2029-04-10T00:00:00.000Z,41038.382611826,41.038382612,32911.510290178
2028-03-27T00:00:00.000Z,2029-04-10T00:00:00.000Z,41188.571821328,41.188571821,33091.197931484
2028-03-28T00:00:00.000Z,2029-04-10T00:00:00.000Z,41338.157666415,41.338157666,33270.789364860
2028-03-29T00:00:00.000Z,2029-04-10T00:00:00.000Z,41487.067934162,41.487067934,33450.273247236
2028-03-30T00:00:00.000Z,2029-04-10T00:00:00.000Z,41635.239188800,41.635239189,33629.638325683
2028-03-31T00:00:00.000Z,2029-04-10T00:00:00.000Z,41782.620108054,41.782620108,33808.873563058
2028-04-01T00:00:00.000Z,2029-04-10T00:00:00.000Z,41929.175099757,41.929175100,33987.968275939
2028-04-02T00:00:00.000Z,2029-04-10T00:00:00.000Z,42074.888703460,42.074888703,34166.912283381
2028-04-03T00:00:00.000Z,2029-04-10T00:00:00.000Z,42219.771295595,42.219771296,34345.696065775
2028-04-04T00:00:00.000Z,2029-04-10T00:00:00.000Z,42363.866072684,42.363866073,34524.310930619
2028-04-05T00:00:00.000Z,2029-04-10T00:00:00.000Z,42507.256015582,42.507256016,34702.749171028
2028-04-06T00:00:00.000Z,2029-04-10T00:00:00.000Z,42650.067744281,42.650067744,34881.004185119
2028-04-07T00:00:00.000Z,2029-04-10T00:00:00.000Z,42792.467813814,42.792467814,35059.070508066
2028-04-08T00:00:00.000Z,2029-04-10T00:00:00.000Z,25696.972690360,25.696972690,16131.084243652
2028-04-09T00:00:00.000Z,2029-04-10T00:00:00.000Z,13960.817220339,13.960817220,4294.230793070
2028-04-10T00:00:00.000Z,2029-04-10T00:00:00.000Z,9257.592789019,9.257592789,1705.317285714
2028-04-11T00:00:00.000Z,2029-04-10T00:00:00.000Z,6876.111114598,6.876111115,3441.263136176
2028-04-12T00:00:00.000Z,2029-04-10T00:00:00.000Z,5457.809863593,5.457809864,4734.659477551
2028-04-13T00:00:00.000Z,2029-04-10T00:00:00.000Z,4521.089543580,4.521089544,5615.319626845
2028-04-14T00:00:00.000Z,2029-04-10T00:00:00.000Z,3857.490426071,3.857490426,6245.778268823
2028-04-15T00:00:00.000Z,2029-04-10T00:00:00.000Z,3363.090405582,3.363090406,6717.804731466
2028-04-16T00:00:00.000Z,2029-04-10T00:00:00.000Z,2980.533882854,2.980533883,7083.977240915
2028-04-17T00:00:00.000Z,2029-04-10T00:00:00.000Z,2675.661433151,2.675661433,7376.137856861
2028-04-18T00:00:00.000Z,2029-04-10T00:00:00.000Z,2426.892727054,2.426892727,7614.589810716
2028-04-19T00:00:00.000Z,2029-04-10T00:00:00.000Z,2219.939047968,2.219939048,7812.856240898
2028-04-20T00:00:00.000Z,2029-04-10T00:00:00.000Z,2044.972082001,2.044972082,7980.279878182
2028-04-21T00:00:00.000Z,2029-04-10T00:00:00.000Z,1895.016683907,1.895016684,8123.517605190
2028-04-22T00:00:00.000Z,2029-04-10T00:00:00.000Z,1764.993542785,1.764993543,8247.439090230
2028-04-23T00:00:00.000Z,2029-04-10T00:00:00.000Z,1651.125389240,1.651125389,8355.688550094
2028-04-24T00:00:00.000Z,2029-04-10T00:00:00.000Z,1550.555391166,1.550555391,8451.047987959
2028-04-25T00:00:00.000Z,2029-04-10T00:00:00.000Z,1461.093666121,1.461093666,8535.679061597
2028-04-26T00:00:00.000Z,2029-04-10T00:00:00.000Z,1381.043235717,1.381043236,8611.288289409
2028-04-27T00:00:00.000Z,2029-04-10T00:00:00.000Z,1309.076378919,1.309076379,8679.242396586
2028-04-28T00:00:00.000Z,2029-04-10T00:00:00.000Z,1244.143789954,1.244143790,8740.650373637
2028-04-29T00:00:00.000Z,2029-04-10T00:00:00.000Z,1185.405843134,1.185405843,8796.422793011
2028-04-30T00:00:00.000Z,2029-04-10T00:00:00.000Z,1132.179370102,1.132179370,8847.315277160
2028-05-01T00:00:00.000Z,2029-04-10T00:00:00.000Z,1083.895640580,1.083895641,8893.960732246
2028-05-02T00:00:00.000Z,2029-04-10T00:00:00.000Z,1040.066470420,1.040066470,8936.893493724
2028-05-03T00:00:00.000Z,2029-04-10T00:00:00.000Z,1000.256285397,1.000256285,8976.567557357
2028-05-04T00:00:00.000Z,2029-04-10T00:00:00.000Z,964.059105342,0.964059105,9013.370421013
2028-05-05T00:00:00.000Z,2029-04-10T00:00:00.000Z,931.080925310,0.931080925,9047.633647691
2028-05-06T00:00:00.000Z,2029-04-10T00:00:00.000Z,900.929380275,0.900929380,9079.641017822
