dep,arr,tof_days,c3_km2s2,dv2_ms
2027-01-01,2027-09-15,257,1.61142,1185.48
2027-01-01,2027-09-16,258,1.586716,1169.67
2027-01-01,2027-09-17,259,1.562837,1154.15
2027-01-01,2027-09-18,260,1.539774,1138.94
2027-01-01,2027-09-19,261,1.517515,1124.04
2027-01-01,2027-09-20,262,1.496054,1109.45
2027-01-01,2027-09-21,263,1.475381,1095.2
2027-01-01,2027-09-22,264,1.455489,1081.28
2027-01-01,2027-09-23,265,1.436372,1067.72
2027-01-01,2027-09-24,266,1.418025,1054.52
2027-01-01,2027-09-25,267,1.400442,1041.69
2027-01-01,2027-09-26,268,1.383621,1029.25
2027-01-01,2027-09-27,269,1.367558,1017.22
2027-01-01,2027-09-28,270,1.352253,1005.61
2027-01-01,2027-09-29,271,1.337704,994.43
2027-01-01,2027-09-30,272,1.323913,983.7
2027-01-01,2027-10-01,273,1.310881,973.45
2027-01-01,2027-10-02,274,1.298611,963.68
2027-01-01,2027-10-03,275,1.287108,954.42
2027-01-01,2027-10-04,276,1.276378,945.7
2027-01-01,2027-10-05,277,1.266427,937.53
2027-01-01,2027-10-06,278,1.257266,929.93
2027-01-01,2027-10-07,279,1.248904,922.94
2027-01-01,2027-10-08,280,1.241355,916.57
2027-01-01,2027-10-09,281,1.234633,910.85
2027-01-01,2027-10-10,282,1.228754,905.81
2027-01-01,2027-10-11,283,1.223739,901.47
2027-01-01,2027-10-12,284,1.219607,897.86
2027-01-01,2027-10-13,285,1.216385,895.02
2027-01-01,2027-10-14,286,1.214098,892.96
2027-01-01,2027-10-15,287,1.212778,891.73
2027-01-01,2027-10-16,288,1.212458,891.34
2027-01-01,2027-10-17,289,1.213177,891.84
2027-01-01,2027-10-18,290,1.214977,893.25
2027-01-01,2027-10-19,291,1.217904,895.6
2027-01-01,2027-10-20,292,1.222011,898.92
2027-01-01,2027-10-21,293,1.227355,903.25
2027-01-01,2027-10-22,294,1.234,908.63
2027-01-01,2027-10-23,295,1.242017,915.07
2027-01-01,2027-10-24,296,1.251485,922.62
2027-01-01,2027-10-25,297,1.262491,931.31
2027-01-01,2027-10-26,298,1.275132,941.17
2027-01-01,2027-10-27,299,1.289516,952.24
2027-01-01,2027-10-28,300,1.305762,964.57
2027-01-01,2027-10-29,301,1.324003,978.17
2027-01-01,2027-10-30,302,1.344389,993.11
2027-01-01,2027-10-31,303,1.367084,1009.42
2027-01-01,2027-11-01,304,1.392273,1027.15
2027-01-01,2027-11-02,305,1.420164,1046.35
2027-01-01,2027-11-03,306,1.450988,1067.07
2027-01-01,2027-11-04,307,1.485007,1089.37
2027-01-01,2027-11-05,308,1.522514,1113.33
2027-01-02,2027-09-15,256,1.629883,1196.13
2027-01-02,2027-09-16,257,1.604678,1180.11
2027-01-02,2027-09-17,258,1.580307,1164.38
2027-01-02,2027-09-18,259,1.556759,1148.95
2027-01-02,2027-09-19,260,1.534023,1133.82
2027-01-02,2027-09-20,261,1.51209,1119.01
2027-01-02,2027-09-21,262,1.490951,1104.52
2027-01-02,2027-09-22,263,1.470599,1090.37
2027-01-02,2027-09-23,264,1.451026,1076.56
2027-01-02,2027-09-24,265,1.432227,1063.11
2027-01-02,2027-09-25,266,1.414196,1050.02
2027-01-02,2027-09-26,267,1.396929,1037.32
2027-01-02,2027-09-27,268,1.380423,1025.01
2027-01-02,2027-09-28,269,1.364675,1013.11
2027-01-02,2027-09-29,270,1.349684,1001.64
2027-01-02,2027-09-30,271,1.335449,990.61
2027-01-02,2027-10-01,272,1.321973,980.04
2027-01-02,2027-10-02,273,1.309257,969.94
2027-01-02,2027-10-03,274,1.297304,960.35
2027-01-02,2027-10-04,275,1.28612,951.27
2027-01-02,2027-10-05,276,1.275711,942.74
2027-01-02,2027-10-06,277,1.266084,934.76
2027-01-02,2027-10-07,278,1.257249,927.37
2027-01-02,2027-10-08,279,1.249217,920.59
2027-01-02,2027-10-09,280,1.242002,914.44
2027-01-02,2027-10-10,281,1.235619,908.95
2027-01-02,2027-10-11,282,1.230084,904.15
2027-01-02,2027-10-12,283,1.225418,900.06
2027-01-02,2027-10-13,284,1.221642,896.71
2027-01-02,2027-10-14,285,1.218783,894.14
2027-01-02,2027-10-15,286,1.216867,892.36
2027-01-02,2027-10-16,287,1.215927,891.41
2027-01-02,2027-10-17,288,1.215997,891.32
2027-01-02,2027-10-18,289,1.217116,892.12
2027-01-02,2027-10-19,290,1.219327,893.84
2027-01-02,2027-10-20,291,1.222679,896.51
2027-01-02,2027-10-21,292,1.227224,900.17
2027-01-02,2027-10-22,293,1.233021,904.83
2027-01-02,2027-10-23,294,1.240137,910.55
2027-01-02,2027-10-24,295,1.248643,917.34
2027-01-02,2027-10-25,296,1.258619,925.24
2027-01-02,2027-10-26,297,1.270155,934.28
2027-01-02,2027-10-27,298,1.28335,944.51
2027-01-02,2027-10-28,299,1.298313,955.95
2027-01-02,2027-10-29,300,1.315167,968.64
2027-01-02,2027-10-30,301,1.334046,982.63
2027-01-02,2027-10-31,302,1.355104,997.94
2027-01-02,2027-11-01,303,1.378507,1014.63
2027-01-02,2027-11-02,304,1.404445,1032.74
2027-01-02,2027-11-03,305,1.433129,1052.33
2027-01-02,2027-11-04,306,1.464795,1073.44
2027-01-02,2027-11-05,307,1.499707,1096.14
2027-01-03,2027-09-15,255,1.647707,1206.9
2027-01-03,2027-09-16,256,1.622003,1190.67
2027-01-03,2027-09-17,257,1.597141,1174.73
2027-01-03,2027-09-18,258,1.573109,1159.08
2027-01-03,2027-09-19,259,1.549898,1143.73
2027-01-03,2027-09-20,260,1.527496,1128.7
2027-01-03,2027-09-21,261,1.505894,1113.98
2027-01-03,2027-09-22,262,1.485085,1099.59
2027-01-03,2027-09-23,263,1.465059,1085.54
2027-01-03,2027-09-24,264,1.445812,1071.84
2027-01-03,2027-09-25,265,1.427336,1058.5
2027-01-03,2027-09-26,266,1.409627,1045.53
2027-01-03,2027-09-27,267,1.392682,1032.95
2027-01-03,2027-09-28,268,1.376495,1020.78
2027-01-03,2027-09-29,269,1.361067,1009.02
2027-01-03,2027-09-30,270,1.346396,997.69
2027-01-03,2027-10-01,271,1.332481,986.81
2027-01-03,2027-10-02,272,1.319325,976.4
2027-01-03,2027-10-03,273,1.30693,966.47
2027-01-03,2027-10-04,274,1.2953,957.05
2027-01-03,2027-10-05,275,1.28444,948.15
2027-01-03,2027-10-06,276,1.274356,939.81
2027-01-03,2027-10-07,277,1.265057,932.03
2027-01-03,2027-10-08,278,1.256554,924.85
2027-01-03,2027-10-09,279,1.248857,918.28
2027-01-03,2027-10-10,280,1.24198,912.36
2027-01-03,2027-10-11,281,1.23594,907.11
2027-01-03,2027-10-12,282,1.230753,902.55
2027-01-03,2027-10-13,283,1.226441,898.72
2027-01-03,2027-10-14,284,1.223026,895.63
2027-01-03,2027-10-15,285,1.220534,893.33
2027-01-03,2027-10-16,286,1.218993,891.83
2027-01-03,2027-10-17,287,1.218437,891.17
2027-01-03,2027-10-18,288,1.2189,891.38
2027-01-03,2027-10-19,289,1.220423,892.49
2027-01-03,2027-10-20,290,1.22305,894.52
2027-01-03,2027-10-21,291,1.22683,897.52
2027-01-03,2027-10-22,292,1.231817,901.5
2027-01-03,2027-10-23,293,1.238072,906.5
2027-01-03,2027-10-24,294,1.245662,912.55
2027-01-03,2027-10-25,295,1.25466,919.69
2027-01-03,2027-10-26,296,1.265148,927.95
2027-01-03,2027-10-27,297,1.277217,937.35
2027-01-03,2027-10-28,298,1.290969,947.94
2027-01-03,2027-10-29,299,1.306515,959.75
2027-01-03,2027-10-30,300,1.32398,972.81
2027-01-03,2027-10-31,301,1.343501,987.16
2027-01-03,2027-11-01,302,1.365233,1002.86
2027-01-03,2027-11-02,303,1.389348,1019.93
2027-01-03,2027-11-03,304,1.416038,1038.42
2027-01-03,2027-11-04,305,1.445518,1058.39
2027-01-03,2027-11-05,306,1.478027,1079.89
2027-01-04,2027-09-15,254,1.664982,1217.78
2027-01-04,2027-09-16,255,1.638778,1201.34
2027-01-04,2027-09-17,256,1.613426,1185.19
2027-01-04,2027-09-18,257,1.588911,1169.33
2027-01-04,2027-09-19,258,1.565225,1153.76
2027-01-04,2027-09-20,259,1.542355,1138.5
2027-01-04,2027-09-21,260,1.520292,1123.56
2027-01-04,2027-09-22,261,1.499026,1108.94
2027-01-04,2027-09-23,262,1.478551,1094.65
2027-01-04,2027-09-24,263,1.458857,1080.7
2027-01-04,2027-09-25,264,1.43994,1067.11
2027-01-04,2027-09-26,265,1.421792,1053.89
2027-01-04,2027-09-27,266,1.40441,1041.05
2027-01-04,2027-09-28,267,1.38779,1028.59
2027-01-04,2027-09-29,268,1.371929,1016.55
2027-01-04,2027-09-30,269,1.356825,1004.93
2027-01-04,2027-10-01,270,1.342478,993.75
2027-01-04,2027-10-02,271,1.328887,983.03
2027-01-04,2027-10-03,272,1.316056,972.78
2027-01-04,2027-10-04,273,1.303986,963.02
2027-01-04,2027-10-05,274,1.292682,953.78
2027-01-04,2027-10-06,275,1.28215,945.07
2027-01-04,2027-10-07,276,1.272397,936.92
2027-01-04,2027-10-08,277,1.263431,929.34
2027-01-04,2027-10-09,278,1.255262,922.37
2027-01-04,2027-10-10,279,1.247904,916.03
2027-01-04,2027-10-11,280,1.24137,910.34
2027-01-04,2027-10-12,281,1.235677,905.32
2027-01-04,2027-10-13,282,1.230842,901.01
2027-01-04,2027-10-14,283,1.226888,897.44
2027-01-04,2027-10-15,284,1.223837,894.62
2027-01-04,2027-10-16,285,1.221716,892.59
2027-01-04,2027-10-17,286,1.220555,891.38
2027-01-04,2027-10-18,287,1.220386,891.01
2027-01-04,2027-10-19,288,1.221247,891.52
2027-01-04,2027-10-20,289,1.223178,892.94
2027-01-04,2027-10-21,290,1.226224,895.29
2027-01-04,2027-10-22,291,1.230437,898.6
2027-01-04,2027-10-23,292,1.23587,902.92
2027-01-04,2027-10-24,293,1.242586,908.26
2027-01-04,2027-10-25,294,1.250654,914.65
2027-01-04,2027-10-26,295,1.260147,922.14
2027-01-04,2027-10-27,296,1.271152,930.75
2027-01-04,2027-10-28,297,1.283759,940.51
2027-01-04,2027-10-29,298,1.298072,951.46
2027-01-04,2027-10-30,299,1.314204,963.63
2027-01-04,2027-10-31,300,1.332284,977.06
2027-01-04,2027-11-01,301,1.352451,991.79
2027-01-04,2027-11-02,302,1.374862,1007.86
2027-01-04,2027-11-03,303,1.399694,1025.31
2027-01-04,2027-11-04,304,1.42714,1044.18
2027-01-04,2027-11-05,305,1.457419,1064.53
2027-01-05,2027-09-15,253,1.681812,1228.77
2027-01-05,2027-09-16,254,1.655107,1212.12
2027-01-05,2027-09-17,255,1.629262,1195.76
2027-01-05,2027-09-18,256,1.604265,1179.69
2027-01-05,2027-09-19,257,1.580102,1163.91
2027-01-05,2027-09-20,258,1.556764,1148.43
2027-01-05,2027-09-21,259,1.53424,1133.26
2027-01-05,2027-09-22,260,1.512519,1118.41
2027-01-05,2027-09-23,261,1.491594,1103.88
2027-01-05,2027-09-24,262,1.471456,1089.7
2027-01-05,2027-09-25,263,1.452098,1075.86
2027-01-05,2027-09-26,264,1.433513,1062.39
2027-01-05,2027-09-27,265,1.415698,1049.28
2027-01-05,2027-09-28,266,1.398646,1036.56
2027-01-05,2027-09-29,267,1.382355,1024.24
2027-01-05,2027-09-30,268,1.366822,1012.34
2027-01-05,2027-10-01,269,1.352046,1000.86
2027-01-05,2027-10-02,270,1.338026,989.83
2027-01-05,2027-10-03,271,1.324764,979.27
2027-01-05,2027-10-04,272,1.31226,969.18
2027-01-05,2027-10-05,273,1.300519,959.6
2027-01-05,2027-10-06,274,1.289546,950.54
2027-01-05,2027-10-07,275,1.279345,942.02
2027-01-05,2027-10-08,276,1.269925,934.07
2027-01-05,2027-10-09,277,1.261295,926.7
2027-01-05,2027-10-10,278,1.253466,919.94
2027-01-05,2027-10-11,279,1.24645,913.83
2027-01-05,2027-10-12,280,1.240262,908.37
2027-01-05,2027-10-13,281,1.234919,903.6
2027-01-05,2027-10-14,282,1.230441,899.54
2027-01-05,2027-10-15,283,1.226848,896.22
2027-01-05,2027-10-16,284,1.224165,893.67
2027-01-05,2027-10-17,285,1.222419,891.92
2027-01-05,2027-10-18,286,1.221641,891.0
2027-01-05,2027-10-19,287,1.221864,890.93
2027-01-05,2027-10-20,288,1.223126,891.74
2027-01-05,2027-10-21,289,1.225469,893.47
2027-01-05,2027-10-22,290,1.228939,896.14
2027-01-05,2027-10-23,291,1.233587,899.78
2027-01-05,2027-10-24,292,1.239471,904.42
2027-01-05,2027-10-25,293,1.246653,910.1
2027-01-05,2027-10-26,294,1.255202,916.84
2027-01-05,2027-10-27,295,1.265197,924.68
2027-01-05,2027-10-28,296,1.276721,933.64
2027-01-05,2027-10-29,297,1.28987,943.76
2027-01-05,2027-10-30,298,1.304749,955.07
2027-01-05,2027-10-31,299,1.321474,967.61
2027-01-05,2027-11-01,300,1.340173,981.41
2027-01-05,2027-11-02,301,1.360991,996.51
2027-01-05,2027-11-03,302,1.384087,1012.95
2027-01-05,2027-11-04,303,1.409639,1030.77
2027-01-05,2027-11-05,304,1.437847,1050.03
2027-01-06,2027-09-15,252,1.698316,1239.86
2027-01-06,2027-09-16,253,1.671106,1223.02
2027-01-06,2027-09-17,254,1.644766,1206.44
