dep,arr,tof_days,c3_km2s2,dv2_ms
2027-12-15,2028-09-01,261,0.221304,524.16
2027-12-15,2028-09-02,262,0.216645,519.71
2027-12-15,2028-09-03,263,0.212162,515.16
2027-12-15,2028-09-04,264,0.207848,510.46
2027-12-15,2028-09-05,265,0.203697,505.57
2027-12-15,2028-09-06,266,0.199704,500.46
2027-12-15,2028-09-07,267,0.195864,495.12
2027-12-15,2028-09-08,268,0.192173,489.54
2027-12-15,2028-09-09,269,0.188629,483.76
2027-12-15,2028-09-10,270,0.18523,477.81
2027-12-15,2028-09-11,271,0.181973,471.73
2027-12-15,2028-09-12,272,0.178858,465.62
2027-12-15,2028-09-13,273,0.175887,459.57
2027-12-15,2028-09-14,274,0.173058,453.72
2027-12-15,2028-09-15,275,0.170375,448.26
2027-12-15,2028-09-16,276,0.167839,443.4
2027-12-15,2028-09-17,277,0.165453,439.38
2027-12-15,2028-09-18,278,0.163219,436.39
2027-12-15,2028-09-19,279,0.161139,434.61
2027-12-15,2028-09-20,280,0.159212,434.07
2027-12-15,2028-09-21,281,0.157439,434.72
2027-12-15,2028-09-22,282,0.155819,436.43
2027-12-15,2028-09-23,283,0.154348,439.0
2027-12-15,2028-09-24,284,0.153024,442.22
2027-12-15,2028-09-25,285,0.151846,445.9
2027-12-15,2028-09-26,286,0.15081,449.87
2027-12-15,2028-09-27,287,0.149916,454.02
2027-12-15,2028-09-28,288,0.149161,458.23
2027-12-15,2028-09-29,289,0.148545,462.43
2027-12-15,2028-09-30,290,0.148068,466.56
2027-12-15,2028-10-01,291,0.147732,470.58
2027-12-15,2028-10-02,292,0.147536,474.45
2027-12-15,2028-10-03,293,0.147483,478.17
2027-12-15,2028-10-04,294,0.147577,481.75
2027-12-15,2028-10-05,295,0.147821,485.2
2027-12-15,2028-10-06,296,0.14822,488.57
2027-12-15,2028-10-07,297,0.148781,491.93
2027-12-15,2028-10-08,298,0.14951,495.36
2027-12-15,2028-10-09,299,0.150417,498.96
